transaction_id,week,store_id,customer_id,channel,treatment_group,segment,net_sales,gross_margin,converted
T01S01038,1,S01,C0117,store,treatment,Value,105.32,44.23,1
T01S01039,1,S01,C0124,store,treatment,Core,107.03,44.95,1
T01S01040,1,S01,C0131,ecommerce,treatment,Premium,120.02,42.01,1
T01S01041,1,S01,C0138,store,treatment,Value,88.86,37.32,1
T01S01042,1,S01,C0145,store,treatment,Core,77.9,32.72,1
T01S01043,1,S01,C0152,store,treatment,Premium,112.8,47.38,1
T01S01044,1,S01,C0159,store,treatment,Value,80.83,28.29,1
T01S01045,1,S01,C0166,ecommerce,treatment,Core,90.8,38.14,1
T01S01046,1,S01,C0173,store,treatment,Premium,129.26,54.29,1
T01S01047,1,S01,C0180,store,treatment,Value,90.62,38.06,1
T01S01048,1,S01,C0187,store,treatment,Core,98.97,34.64,1
T01S01049,1,S01,C0194,store,treatment,Premium,99.49,41.79,1
T01S01050,1,S01,C0001,ecommerce,treatment,Core,103.72,43.56,1
T01S01051,1,S01,C0008,store,treatment,Premium,108.46,45.55,1
T01S01052,1,S01,C0015,store,treatment,Value,110.72,38.75,1
T01S01053,1,S01,C0022,store,treatment,Core,115.37,48.46,1
T01S01054,1,S01,C0029,store,treatment,Premium,120.6,50.65,1
T01S01055,1,S01,C0036,ecommerce,treatment,Value,93.82,39.4,1
T01S01056,1,S01,C0043,store,treatment,Core,99.62,34.87,1
T01S01057,1,S01,C0050,store,treatment,Premium,79.81,33.52,1
T01S01058,1,S01,C0057,store,treatment,Value,87.32,36.67,1
T01S01059,1,S01,C0064,store,treatment,Core,95.01,39.9,1
T01S01060,1,S01,C0071,ecommerce,treatment,Premium,103.09,36.08,1
T01S01061,1,S01,C0078,store,treatment,Value,84.1,35.32,1
T01S01062,1,S01,C0085,store,treatment,Core,126.6,53.17,1
T01S01063,1,S01,C0092,store,treatment,Premium,142.29,59.76,1
T01S01064,1,S01,C0099,store,treatment,Value,89.87,31.45,1
T01S01065,1,S01,C0106,ecommerce,treatment,Core,74.66,31.36,0
T01S01066,1,S01,C0113,store,treatment,Premium,98.53,41.38,1
T01S01067,1,S01,C0120,store,treatment,Value,64.95,27.28,0
T01S01068,1,S01,C0127,store,treatment,Core,101.16,35.41,1
T01S01069,1,S01,C0134,store,treatment,Premium,109.57,46.02,1
T01S01070,1,S01,C0141,ecommerce,treatment,Value,113.52,47.68,1
T01S01071,1,S01,C0148,store,treatment,Core,70.65,29.67,0
T01S01072,1,S01,C0155,store,treatment,Premium,85.65,29.98,1
T01S01073,1,S01,C0162,store,treatment,Value,120.4,50.57,1
T01S01074,1,S01,C0169,store,treatment,Core,123.28,51.78,1
T01S01075,1,S01,C0176,ecommerce,treatment,Premium,101.64,42.69,1
T01S01076,1,S01,C0183,store,treatment,Value,89.93,31.48,1
T01S01077,1,S01,C0190,store,treatment,Core,105.54,44.33,1
T01S01078,1,S01,C0197,store,treatment,Premium,128.88,54.13,1
T01S01079,1,S01,C0004,store,treatment,Core,37.46,15.73,0
T01S01080,1,S01,C0011,ecommerce,treatment,Premium,131.31,45.96,1
T01S01081,1,S01,C0018,store,treatment,Value,59.51,25.0,0
T01S01082,1,S01,C0025,store,treatment,Core,83.46,35.05,1
T01S01083,1,S01,C0032,store,treatment,Premium,85.79,36.03,1
T01S01084,1,S01,C0039,store,treatment,Value,65.74,23.01,0
T01S01085,1,S01,C0046,ecommerce,treatment,Core,97.51,40.95,1
T01S01086,1,S01,C0053,store,treatment,Premium,120.01,50.41,1
T01S01087,1,S01,C0060,store,treatment,Value,65.26,27.41,0
T01S01088,1,S01,C0067,store,treatment,Core,86.02,30.11,1
T01S01089,1,S01,C0074,store,treatment,Premium,127.75,53.66,1
T01S01090,1,S01,C0081,ecommerce,treatment,Value,91.18,38.29,1
T01S01091,1,S01,C0088,store,treatment,Core,112.38,47.2,1
T01S01092,1,S01,C0095,store,treatment,Premium,82.25,28.79,1
T01S01093,1,S01,C0102,store,treatment,Value,104.34,43.82,1
T01S01094,1,S01,C0109,store,treatment,Core,107.93,45.33,1
T01S01095,1,S01,C0116,ecommerce,treatment,Premium,108.24,45.46,1
T01S01096,1,S01,C0123,store,treatment,Value,127.6,44.66,1
T01S01097,1,S01,C0130,store,treatment,Core,70.03,29.41,0
T01S01098,1,S01,C0137,store,treatment,Premium,127.84,53.69,1
T01S01099,1,S01,C0144,store,treatment,Value,50.42,21.18,0
T01S01100,1,S01,C0151,ecommerce,treatment,Core,47.24,16.53,0
T01S01101,1,S01,C0158,store,treatment,Premium,101.03,42.43,1
T01S01102,1,S01,C0165,store,treatment,Value,114.53,48.1,1
T01S01103,1,S01,C0172,store,treatment,Core,106.98,44.93,1
T01S01104,1,S01,C0179,store,treatment,Premium,102.3,35.8,1
T01S01105,1,S01,C0186,ecommerce,treatment,Value,91.35,38.37,1
T01S01106,1,S01,C0193,store,treatment,Core,115.83,48.65,1
T01S01107,1,S01,C0200,store,treatment,Premium,91.36,38.37,1
T01S01108,1,S01,C0007,store,treatment,Core,111.1,38.88,1
T01S01109,1,S01,C0014,store,treatment,Premium,108.72,45.66,1
T01S01110,1,S01,C0021,ecommerce,treatment,Value,105.68,44.39,1
T01S01111,1,S01,C0028,store,treatment,Core,87.75,36.86,1
T01S01112,1,S01,C0035,store,treatment,Premium,101.17,35.41,1
T01S01113,1,S01,C0042,store,treatment,Value,87.24,36.64,1
T01S01114,1,S01,C0049,store,treatment,Core,71.7,30.11,0
T01S01115,1,S01,C0056,ecommerce,treatment,Premium,117.73,49.45,1
T01S01116,1,S01,C0063,store,treatment,Value,74.51,26.08,0
T01S01117,1,S01,C0070,store,treatment,Core,72.17,30.31,0
T01S01118,1,S01,C0077,store,treatment,Premium,90.23,37.9,1
T01S01119,1,S01,C0084,store,treatment,Value,62.41,26.21,0
T01S01120,1,S01,C0091,ecommerce,treatment,Core,88.54,30.99,1
T01S01121,1,S01,C0098,store,treatment,Premium,87.13,36.59,1
T01S01122,1,S01,C0105,store,treatment,Value,50.04,21.02,0
T01S01123,1,S01,C0112,store,treatment,Core,73.94,31.06,0
T01S01124,1,S01,C0119,store,treatment,Premium,105.67,36.99,1
T01S01125,1,S01,C0126,ecommerce,treatment,Value,77.58,32.58,1
T01S01126,1,S01,C0133,store,treatment,Core,120.33,50.54,1
T01S01127,1,S01,C0140,store,treatment,Premium,119.96,50.38,1
T01S01128,1,S01,C0147,store,treatment,Value,87.97,30.79,1
T01S01129,1,S01,C0154,store,treatment,Core,92.58,38.89,1
T01S01130,1,S01,C0161,ecommerce,treatment,Premium,92.33,38.78,1
T01S01131,1,S01,C0168,store,treatment,Value,96.48,40.52,1
T01S01132,1,S01,C0175,store,treatment,Core,82.88,29.01,1
T01S01133,1,S01,C0182,store,treatment,Premium,85.12,35.75,1
T01S01134,1,S01,C0189,store,treatment,Value,84.42,35.46,1
T01S01135,1,S01,C0196,ecommerce,treatment,Core,91.73,38.53,1
T01S01136,1,S01,C0003,store,treatment,Value,104.54,36.59,1
T01S01137,1,S01,C0010,store,treatment,Core,99.59,41.83,1
T01S01138,1,S01,C0017,store,treatment,Premium,86.75,36.43,1
T01S01139,1,S01,C0024,store,treatment,Value,76.14,31.98,1
T01S01140,1,S01,C0031,ecommerce,treatment,Core,108.32,37.91,1
T01S01141,1,S01,C0038,store,treatment,Premium,106.62,44.78,1
T01S01142,1,S01,C0045,store,treatment,Value,100.26,42.11,1
T01S01143,1,S01,C0052,store,treatment,Core,119.59,50.23,1
T01S01144,1,S01,C0059,store,treatment,Premium,97.18,34.01,1
T01S01145,1,S01,C0066,ecommerce,treatment,Value,88.49,37.17,1
T01S01146,1,S01,C0073,store,treatment,Core,97.44,40.93,1
T01S01147,1,S01,C0080,store,treatment,Premium,110.25,46.3,1
T01S01148,1,S01,C0087,store,treatment,Value,73.34,25.67,0
T01S01149,1,S01,C0094,store,treatment,Core,95.49,40.11,1
T01S01150,1,S01,C0101,ecommerce,treatment,Premium,103.11,43.31,1
T01S01151,1,S01,C0108,store,treatment,Value,117.11,49.18,1
T01S01152,1,S01,C0115,store,treatment,Core,91.76,32.11,1
T01S01153,1,S01,C0122,store,treatment,Premium,119.06,50.01,1
T01S01154,1,S01,C0129,store,treatment,Value,111.28,46.74,1
T01S01155,1,S01,C0136,ecommerce,treatment,Core,142.32,59.77,1
T01S01156,1,S01,C0143,store,treatment,Premium,89.52,31.33,1
T01S01157,1,S01,C0150,store,treatment,Value,84.96,35.68,1
T01S01158,1,S01,C0157,store,treatment,Core,78.59,33.01,1
T01S01159,1,S01,C0164,store,treatment,Premium,99.82,41.92,1
T01S02000,1,S02,C0064,ecommerce,control,Core,78.0,27.3,1
T01S02001,1,S02,C0071,store,control,Premium,107.27,45.05,1
T01S02002,1,S02,C0078,store,control,Value,82.46,34.64,1
T01S02003,1,S02,C0085,store,control,Core,85.76,36.02,1
T01S02004,1,S02,C0092,store,control,Premium,97.44,34.1,1
T01S02005,1,S02,C0099,ecommerce,control,Value,81.75,34.33,1
T01S02006,1,S02,C0106,store,control,Core,82.59,34.69,1
T01S02007,1,S02,C0113,store,control,Premium,110.73,46.51,1
T01S02008,1,S02,C0120,store,control,Value,77.34,27.07,1
T01S02009,1,S02,C0127,store,control,Core,43.16,18.13,0
T01S02010,1,S02,C0134,ecommerce,control,Premium,55.98,23.51,0
T01S02011,1,S02,C0141,store,control,Value,58.17,24.43,0
T01S02012,1,S02,C0148,store,control,Core,56.39,19.74,0
T01S02013,1,S02,C0155,store,control,Premium,61.83,25.97,0
T01S02014,1,S02,C0162,store,control,Value,66.76,28.04,0
T01S02015,1,S02,C0169,ecommerce,control,Core,86.13,36.18,1
T01S02016,1,S02,C0176,store,control,Premium,125.61,43.96,1
T01S02017,1,S02,C0183,store,control,Value,87.22,36.63,1
T01S02018,1,S02,C0190,store,control,Core,38.91,16.34,0
T01S02019,1,S02,C0197,store,control,Premium,99.61,41.84,1
T01S02020,1,S02,C0004,ecommerce,control,Core,59.71,20.9,0
T01S02021,1,S02,C0011,store,control,Premium,119.25,50.09,1
T01S02022,1,S02,C0018,store,control,Value,56.45,23.71,0
T01S02023,1,S02,C0025,store,control,Core,59.15,24.84,0
T01S02024,1,S02,C0032,store,control,Premium,85.96,30.09,1
T01S02025,1,S02,C0039,ecommerce,control,Value,73.97,31.07,0
T01S02026,1,S02,C0046,store,control,Core,98.28,41.28,1
T01S02027,1,S02,C0053,store,control,Premium,111.33,46.76,1
T01S02028,1,S02,C0060,store,control,Value,59.03,20.66,0
T01S02029,1,S02,C0067,store,control,Core,64.2,26.96,0
T01S02030,1,S02,C0074,ecommerce,control,Premium,105.81,44.44,1
T01S02031,1,S02,C0081,store,control,Value,44.77,18.8,0
T01S02032,1,S02,C0088,store,control,Core,57.16,20.0,0
T01S02033,1,S02,C0095,store,control,Premium,57.72,24.24,0
T01S02034,1,S02,C0102,store,control,Value,93.34,39.2,1
T01S02035,1,S02,C0109,ecommerce,control,Core,119.41,50.15,1
T01S02036,1,S02,C0116,store,control,Premium,90.41,31.64,1
T01S02037,1,S02,C0123,store,control,Value,89.23,37.48,1
T01S02038,1,S02,C0130,store,control,Core,97.77,41.06,1
T01S02039,1,S02,C0137,store,control,Premium,126.0,52.92,1
T01S02040,1,S02,C0144,ecommerce,control,Value,68.21,23.87,0
T01S02041,1,S02,C0151,store,control,Core,107.15,45.0,1
T01S02042,1,S02,C0158,store,control,Premium,99.09,41.62,1
T01S02043,1,S02,C0165,store,control,Value,72.32,30.37,0
T01S02044,1,S02,C0172,store,control,Core,105.38,36.88,1
T01S02045,1,S02,C0179,ecommerce,control,Premium,114.21,47.97,1
T01S02046,1,S02,C0186,store,control,Value,84.24,35.38,1
T01S02047,1,S02,C0193,store,control,Core,47.1,19.78,0
T01S02048,1,S02,C0200,store,control,Premium,102.63,35.92,1
T01S02049,1,S02,C0007,store,control,Core,99.5,41.79,1
T01S02050,1,S02,C0014,ecommerce,control,Premium,93.6,39.31,1
T01S02051,1,S02,C0021,store,control,Value,107.01,44.94,1
T01S02052,1,S02,C0028,store,control,Core,92.34,32.32,1
T01S02053,1,S02,C0035,store,control,Premium,104.87,44.04,1
T01S02054,1,S02,C0042,store,control,Value,46.07,19.35,0
T01S02055,1,S02,C0049,ecommerce,control,Core,84.93,35.67,1
T01S02056,1,S02,C0056,store,control,Premium,91.8,32.13,1
T01S02057,1,S02,C0063,store,control,Value,60.11,25.24,0
T01S02058,1,S02,C0070,store,control,Core,65.8,27.64,0
T01S02059,1,S02,C0077,store,control,Premium,85.06,35.72,1
T01S02060,1,S02,C0084,ecommerce,control,Value,75.85,26.55,0
T01S02061,1,S02,C0091,store,control,Core,86.22,36.21,1
T01S02062,1,S02,C0098,store,control,Premium,66.9,28.1,0
T01S02063,1,S02,C0105,store,control,Value,93.27,39.17,1
T01S02064,1,S02,C0112,store,control,Core,97.97,34.29,1
T01S02065,1,S02,C0119,ecommerce,control,Premium,108.53,45.58,1
T01S02066,1,S02,C0126,store,control,Value,83.72,35.16,1
T01S02067,1,S02,C0133,store,control,Core,57.72,24.24,0
T01S02068,1,S02,C0140,store,control,Premium,98.86,34.6,1
T01S02069,1,S02,C0147,store,control,Value,45.29,19.02,0
T01S02070,1,S02,C0154,ecommerce,control,Core,85.96,36.1,1
T01S02071,1,S02,C0161,store,control,Premium,80.12,33.65,1
T01S02072,1,S02,C0168,store,control,Value,68.02,23.81,0
T01S02073,1,S02,C0175,store,control,Core,79.96,33.58,1
T01S02074,1,S02,C0182,store,control,Premium,99.44,41.77,1
T01S02075,1,S02,C0189,ecommerce,control,Value,108.34,45.5,1
T01S02076,1,S02,C0196,store,control,Core,103.75,36.31,1
T01S02077,1,S02,C0003,store,control,Value,82.54,34.67,1
T01S02078,1,S02,C0010,store,control,Core,98.76,41.48,1
T01S02079,1,S02,C0017,store,control,Premium,70.85,29.76,0
T01S02080,1,S02,C0024,ecommerce,control,Value,74.58,26.1,0
T01S02081,1,S02,C0031,store,control,Core,78.62,33.02,1
T01S02082,1,S02,C0038,store,control,Premium,69.65,29.25,0
T01S02083,1,S02,C0045,store,control,Value,52.62,22.1,0
T01S02084,1,S02,C0052,store,control,Core,68.4,23.94,0
T01S02085,1,S02,C0059,ecommerce,control,Premium,116.86,49.08,1
T01S02086,1,S02,C0066,store,control,Value,89.72,37.68,1
T01S02087,1,S02,C0073,store,control,Core,116.13,48.77,1
T01S02088,1,S02,C0080,store,control,Premium,96.05,33.62,1
T01S02089,1,S02,C0087,store,control,Value,63.37,26.61,0
T01S02090,1,S02,C0094,ecommerce,control,Core,44.46,18.67,0
T01S02091,1,S02,C0101,store,control,Premium,115.65,48.57,1
T01S02092,1,S02,C0108,store,control,Value,86.6,30.31,1
T01S02093,1,S02,C0115,store,control,Core,102.29,42.96,1
T01S02094,1,S02,C0122,store,control,Premium,81.9,34.4,1
T01S02095,1,S02,C0129,ecommerce,control,Value,74.48,31.28,0
T01S02096,1,S02,C0136,store,control,Core,68.15,23.85,0
T01S02097,1,S02,C0143,store,control,Premium,72.43,30.42,0
T01S02098,1,S02,C0150,store,control,Value,74.04,31.1,0
T01S02099,1,S02,C0157,store,control,Core,74.1,31.12,0
T01S02100,1,S02,C0164,ecommerce,control,Premium,119.31,41.76,1
T01S02101,1,S02,C0171,store,control,Value,49.59,20.83,0
T01S02102,1,S02,C0178,store,control,Core,72.43,30.42,0
T01S02103,1,S02,C0185,store,control,Premium,96.95,40.72,1
T01S02104,1,S02,C0192,store,control,Value,87.37,30.58,1
T01S02105,1,S02,C0199,ecommerce,control,Core,72.36,30.39,0
T01S02106,1,S02,C0006,store,control,Value,91.2,38.3,1
T01S02107,1,S02,C0013,store,control,Core,60.33,25.34,0
T01S02108,1,S02,C0020,store,control,Premium,113.06,39.57,1
T01S02109,1,S02,C0027,store,control,Value,70.71,29.7,0
T01S02110,1,S02,C0034,ecommerce,control,Core,77.93,32.73,1
T01S02111,1,S02,C0041,store,control,Premium,96.45,40.51,1
T01S02112,1,S02,C0048,store,control,Value,76.03,26.61,1
T01S02113,1,S02,C0055,store,control,Core,98.7,41.46,1
T01S02114,1,S02,C0062,store,control,Premium,106.8,44.86,1
T01S02115,1,S02,C0069,ecommerce,control,Value,77.87,32.71,1
T01S02116,1,S02,C0076,store,control,Core,66.57,23.3,0
T01S02117,1,S02,C0083,store,control,Premium,89.67,37.66,1
T01S02118,1,S02,C0090,store,control,Value,84.65,35.55,1
T01S02119,1,S02,C0097,store,control,Core,76.91,32.3,1
T01S02120,1,S02,C0104,ecommerce,control,Premium,97.06,33.97,1
T01S02121,1,S02,C0111,store,control,Value,91.05,38.24,1
T01S02122,1,S02,C0118,store,control,Core,54.39,22.84,0
T01S02123,1,S02,C0125,store,control,Premium,79.08,33.21,1
T01S02124,1,S02,C0132,store,control,Value,78.83,27.59,1
T01S02125,1,S02,C0139,ecommerce,control,Core,97.6,40.99,1
T01S02126,1,S02,C0146,store,control,Premium,82.2,34.52,1
T01S02127,1,S02,C0153,store,control,Value,87.88,36.91,1
T01S02128,1,S02,C0160,store,control,Core,57.98,20.29,0
T01S02129,1,S02,C0167,store,control,Premium,48.56,20.39,0
T01S02130,1,S02,C0174,ecommerce,control,Value,63.66,26.74,0
T01S02131,1,S02,C0181,store,control,Core,109.8,46.12,1
T01S02132,1,S02,C0188,store,control,Premium,83.71,29.3,1
T01S02133,1,S02,C0195,store,control,Value,52.47,22.04,0
T01S02134,1,S02,C0002,store,control,Premium,69.17,29.05,0
T01S02135,1,S02,C0009,ecommerce,control,Value,91.62,38.48,1
T01S02136,1,S02,C0016,store,control,Core,72.13,25.24,0
T01S02137,1,S02,C0023,store,control,Premium,110.13,46.25,1
T01S02138,1,S02,C0030,store,control,Value,41.13,17.27,0
T01S02139,1,S02,C0037,store,control,Core,78.21,32.85,1
T01S02140,1,S02,C0044,ecommerce,control,Premium,71.06,24.87,0
T01S02141,1,S02,C0051,store,control,Value,79.19,33.26,1
T01S02142,1,S02,C0058,store,control,Core,99.28,41.7,1
T01S02143,1,S02,C0065,store,control,Premium,58.43,24.54,0
T01S02144,1,S02,C0072,store,control,Value,100.42,35.15,1
T01S02145,1,S02,C0079,ecommerce,control,Core,79.51,33.39,1
T01S02146,1,S02,C0086,store,control,Premium,94.27,39.59,1
T01S02147,1,S02,C0093,store,control,Value,45.33,19.04,0
T01S02148,1,S02,C0100,store,control,Core,70.8,24.78,0
T01S02149,1,S02,C0107,store,control,Premium,100.61,42.26,1
T01S02150,1,S02,C0114,ecommerce,control,Value,92.56,38.88,1
T01S02151,1,S02,C0121,store,control,Core,54.53,22.9,0
T01S02152,1,S02,C0128,store,control,Premium,114.44,40.05,1
T01S02153,1,S02,C0135,store,control,Value,58.31,24.49,0
T01S02154,1,S02,C0142,store,control,Core,78.3,32.89,1
T01S02155,1,S02,C0149,ecommerce,control,Premium,81.78,34.35,1
T01S02156,1,S02,C0156,store,control,Value,70.65,24.73,0
T01S02157,1,S02,C0163,store,control,Core,97.62,41.0,1
T01S02158,1,S02,C0170,store,control,Premium,83.0,34.86,1
T01S02159,1,S02,C0177,store,control,Value,77.13,32.39,1
T01S03000,1,S03,C0077,ecommerce,treatment,Premium,104.49,36.57,1
T01S03001,1,S03,C0084,store,treatment,Value,75.63,31.76,0
T01S03002,1,S03,C0091,store,treatment,Core,104.47,43.88,1
T01S03003,1,S03,C0098,store,treatment,Premium,109.78,46.11,1
T01S03004,1,S03,C0105,store,treatment,Value,98.48,34.47,1
T01S03005,1,S03,C0112,ecommerce,treatment,Core,112.23,47.14,1
T01S03006,1,S03,C0119,store,treatment,Premium,81.97,34.43,1
T01S03007,1,S03,C0126,store,treatment,Value,111.52,46.84,1
T01S03008,1,S03,C0133,store,treatment,Core,152.2,53.27,1
T01S03009,1,S03,C0140,store,treatment,Premium,121.77,51.14,1
T01S03010,1,S03,C0147,ecommerce,treatment,Value,89.09,37.42,1
T01S03011,1,S03,C0154,store,treatment,Core,88.49,37.16,1
T01S03012,1,S03,C0161,store,treatment,Premium,101.33,35.47,1
T01S03013,1,S03,C0168,store,treatment,Value,106.33,44.66,1
T01S03014,1,S03,C0175,store,treatment,Core,101.13,42.47,1
T01S03015,1,S03,C0182,ecommerce,treatment,Premium,111.17,46.69,1
T01S03016,1,S03,C0189,store,treatment,Value,98.69,34.54,1
T01S03017,1,S03,C0196,store,treatment,Core,83.9,35.24,1
T01S03018,1,S03,C0003,store,treatment,Value,93.85,39.42,1
T01S03019,1,S03,C0010,store,treatment,Core,96.59,40.57,1
T01S03020,1,S03,C0017,ecommerce,treatment,Premium,74.71,26.15,0
T01S03021,1,S03,C0024,store,treatment,Value,64.57,27.12,0
T01S03022,1,S03,C0031,store,treatment,Core,93.46,39.25,1
T01S03023,1,S03,C0038,store,treatment,Premium,124.96,52.48,1
T01S03024,1,S03,C0045,store,treatment,Value,82.93,29.02,1
T01S03025,1,S03,C0052,ecommerce,treatment,Core,93.15,39.12,1
T01S03026,1,S03,C0059,store,treatment,Premium,92.72,38.94,1
T01S03027,1,S03,C0066,store,treatment,Value,72.59,30.49,0
T01S03028,1,S03,C0073,store,treatment,Core,111.51,39.03,1
T01S03029,1,S03,C0080,store,treatment,Premium,144.19,60.56,1
T01S03030,1,S03,C0087,ecommerce,treatment,Value,78.03,32.77,1
T01S03031,1,S03,C0094,store,treatment,Core,73.5,30.87,0
T01S03032,1,S03,C0101,store,treatment,Premium,93.38,32.68,1
T01S03033,1,S03,C0108,store,treatment,Value,116.59,48.97,1
T01S03034,1,S03,C0115,store,treatment,Core,73.84,31.01,0
T01S03035,1,S03,C0122,ecommerce,treatment,Premium,133.11,55.91,1
T01S03036,1,S03,C0129,store,treatment,Value,91.62,32.07,1
T01S03037,1,S03,C0136,store,treatment,Core,99.71,41.88,1
T01S03038,1,S03,C0143,store,treatment,Premium,122.11,51.29,1
T01S03039,1,S03,C0150,store,treatment,Value,81.57,34.26,1
T01S03040,1,S03,C0157,ecommerce,treatment,Core,94.56,33.1,1
T01S03041,1,S03,C0164,store,treatment,Premium,124.65,52.35,1
T01S03042,1,S03,C0171,store,treatment,Value,95.49,40.11,1
T01S03043,1,S03,C0178,store,treatment,Core,109.1,45.82,1
T01S03044,1,S03,C0185,store,treatment,Premium,94.13,32.94,1
T01S03045,1,S03,C0192,ecommerce,treatment,Value,114.43,48.06,1
T01S03046,1,S03,C0199,store,treatment,Core,123.23,51.76,1
T01S03047,1,S03,C0006,store,treatment,Value,63.79,26.79,0
T01S03048,1,S03,C0013,store,treatment,Core,118.96,41.64,1
T01S03049,1,S03,C0020,store,treatment,Premium,82.27,34.56,1
T01S03050,1,S03,C0027,ecommerce,treatment,Value,99.09,41.62,1
T01S03051,1,S03,C0034,store,treatment,Core,78.11,32.8,1
T01S03052,1,S03,C0041,store,treatment,Premium,139.39,48.79,1
T01S03053,1,S03,C0048,store,treatment,Value,60.65,25.47,0
T01S03054,1,S03,C0055,store,treatment,Core,63.92,26.84,0
T01S03055,1,S03,C0062,ecommerce,treatment,Premium,133.24,55.96,1
T01S03056,1,S03,C0069,store,treatment,Value,92.04,32.21,1
T01S03057,1,S03,C0076,store,treatment,Core,129.44,54.36,1
T01S03058,1,S03,C0083,store,treatment,Premium,152.65,64.11,1
T01S03059,1,S03,C0090,store,treatment,Value,89.42,37.55,1
T01S03060,1,S03,C0097,ecommerce,treatment,Core,92.88,32.51,1
T01S03061,1,S03,C0104,store,treatment,Premium,122.74,51.55,1
T01S03062,1,S03,C0111,store,treatment,Value,80.26,33.71,1
T01S03063,1,S03,C0118,store,treatment,Core,140.25,58.9,1
T01S03064,1,S03,C0125,store,treatment,Premium,91.88,32.16,1
T01S03065,1,S03,C0132,ecommerce,treatment,Value,86.86,36.48,1
T01S03066,1,S03,C0139,store,treatment,Core,89.38,37.54,1
T01S03067,1,S03,C0146,store,treatment,Premium,122.82,51.58,1
T01S03068,1,S03,C0153,store,treatment,Value,55.97,19.59,0
T01S03069,1,S03,C0160,store,treatment,Core,102.84,43.19,1
T01S03070,1,S03,C0167,ecommerce,treatment,Premium,115.66,48.58,1
T01S03071,1,S03,C0174,store,treatment,Value,100.46,42.2,1
T01S03072,1,S03,C0181,store,treatment,Core,94.45,33.06,1
T01S03073,1,S03,C0188,store,treatment,Premium,99.59,41.83,1
T01S03074,1,S03,C0195,store,treatment,Value,96.32,40.46,1
T01S03075,1,S03,C0002,ecommerce,treatment,Premium,138.09,58.0,1
T01S03076,1,S03,C0009,store,treatment,Value,113.16,39.61,1
T01S03077,1,S03,C0016,store,treatment,Core,111.18,46.69,1
T01S03078,1,S03,C0023,store,treatment,Premium,101.15,42.48,1
T01S03079,1,S03,C0030,store,treatment,Value,95.29,40.02,1
T01S03080,1,S03,C0037,ecommerce,treatment,Core,93.47,32.71,1
T01S03081,1,S03,C0044,store,treatment,Premium,114.83,48.23,1
T01S03082,1,S03,C0051,store,treatment,Value,68.6,28.81,0
T01S03083,1,S03,C0058,store,treatment,Core,97.53,40.96,1
T01S03084,1,S03,C0065,store,treatment,Premium,118.22,41.38,1
