customer_id,segment,loyalty_tier,region,prior_90d_spend,eligible_flag
C0094,Core,Member,West,175.0,Y
C0095,Premium,VIP,West,192.5,Y
C0096,Value,None,Northeast,210.0,Y
C0097,Core,Member,Northeast,227.5,Y
C0098,Premium,VIP,South,245.0,Y
C0099,Value,None,South,70.0,Y
C0100,Core,Member,Midwest,87.5,Y
C0101,Premium,VIP,Midwest,105.0,Y
C0102,Value,None,West,122.5,Y
C0103,Core,Member,West,140.0,Y
C0104,Premium,VIP,Northeast,157.5,Y
C0105,Value,None,Northeast,175.0,Y
C0106,Core,Member,South,192.5,Y
C0107,Premium,VIP,South,210.0,Y
C0108,Value,None,Midwest,227.5,Y
C0109,Core,Member,Midwest,245.0,Y
C0110,Premium,VIP,West,70.0,Y
C0111,Value,None,West,87.5,Y
C0112,Core,Member,Northeast,105.0,Y
C0113,Premium,VIP,Northeast,122.5,Y
C0114,Value,None,South,140.0,Y
C0115,Core,Member,South,157.5,Y
C0116,Premium,VIP,Midwest,175.0,Y
C0117,Value,None,Midwest,192.5,Y
C0118,Core,Member,West,210.0,Y
C0119,Premium,VIP,West,227.5,Y
C0120,Value,None,Northeast,245.0,Y
C0121,Core,Member,Northeast,70.0,Y
C0122,Premium,VIP,South,87.5,Y
C0123,Value,None,South,105.0,Y
C0124,Core,Member,Midwest,122.5,Y
C0125,Premium,VIP,Midwest,140.0,Y
C0126,Value,None,West,157.5,Y
C0127,Core,Member,West,175.0,Y
C0128,Premium,VIP,Northeast,192.5,Y
C0129,Value,None,Northeast,210.0,Y
C0130,Core,Member,South,227.5,Y
C0131,Premium,VIP,South,245.0,Y
C0132,Value,None,Midwest,70.0,Y
C0133,Core,Member,Midwest,87.5,Y
C0134,Premium,VIP,West,105.0,Y
C0135,Value,None,West,122.5,Y
C0136,Core,Member,Northeast,140.0,Y
C0137,Premium,VIP,Northeast,157.5,Y
C0138,Value,None,South,175.0,Y
C0139,Core,Member,South,192.5,Y
C0140,Premium,VIP,Midwest,210.0,Y
C0141,Value,None,Midwest,227.5,Y
C0142,Core,Member,West,245.0,Y
C0143,Premium,VIP,West,70.0,Y
C0144,Value,None,Northeast,87.5,Y
C0145,Core,Member,Northeast,105.0,Y
C0146,Premium,VIP,South,122.5,Y
C0147,Value,None,South,140.0,Y
C0148,Core,Member,Midwest,157.5,Y
C0149,Premium,VIP,Midwest,175.0,Y
C0150,Value,None,West,192.5,Y
C0151,Core,Member,West,210.0,Y
C0152,Premium,VIP,Northeast,227.5,Y
C0153,Value,None,Northeast,245.0,Y
C0154,Core,Member,South,70.0,Y
C0155,Premium,VIP,South,87.5,Y
C0156,Value,None,Midwest,105.0,Y
C0157,Core,Member,Midwest,122.5,Y
C0158,Premium,VIP,West,140.0,Y
C0159,Value,None,West,157.5,Y
C0160,Core,Member,Northeast,175.0,Y
C0161,Premium,VIP,Northeast,192.5,Y
C0162,Value,None,South,210.0,Y
C0163,Core,Member,South,227.5,Y
C0164,Premium,VIP,Midwest,245.0,Y
C0165,Value,None,Midwest,70.0,Y
C0166,Core,Member,West,87.5,Y
C0167,Premium,VIP,West,105.0,Y
C0168,Value,None,Northeast,122.5,Y
C0169,Core,Member,Northeast,140.0,Y
C0170,Premium,VIP,South,157.5,Y
C0171,Value,None,South,175.0,Y
C0172,Core,Member,Midwest,192.5,Y
C0173,Premium,VIP,Midwest,210.0,Y
C0174,Value,None,West,227.5,Y
C0175,Core,Member,West,245.0,Y
C0176,Premium,VIP,Northeast,70.0,Y
C0177,Value,None,Northeast,87.5,Y
C0178,Core,Member,South,105.0,Y
C0179,Premium,VIP,South,122.5,Y
C0180,Value,None,Midwest,140.0,Y
C0181,Core,Member,Midwest,157.5,Y
C0182,Premium,VIP,West,175.0,Y
C0183,Value,None,West,192.5,Y
C0184,Core,Member,Northeast,210.0,Y
C0185,Premium,VIP,Northeast,227.5,Y
C0186,Value,None,South,245.0,Y
C0187,Core,Member,South,70.0,Y
C0188,Premium,VIP,Midwest,87.5,Y
C0189,Value,None,Midwest,105.0,Y
C0190,Core,Member,West,122.5,Y
C0191,Premium,VIP,West,140.0,Y
C0192,Value,None,Northeast,157.5,Y
C0193,Core,Member,Northeast,175.0,Y
C0194,Premium,VIP,South,192.5,Y
C0195,Value,None,South,210.0,Y
C0196,Core,Member,Midwest,227.5,Y
C0197,Premium,VIP,Midwest,245.0,Y
C0198,Value,None,West,70.0,Y
C0199,Core,Member,West,87.5,Y
C0200,Premium,VIP,Northeast,105.0,Y
